,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
808,Australia,Maize,1990,41821,534.0,17866.0,16.8
809,Australia,Maize,1990,41821,534.0,17866.0,20.06
810,Australia,Maize,1990,41821,534.0,17866.0,
811,Australia,Maize,1990,41821,534.0,17866.0,14.16
812,Australia,Maize,1990,41821,534.0,17866.0,18.05
813,Australia,Maize,1990,41821,534.0,17866.0,17.47
814,Australia,Potatoes,1990,289832,534.0,17866.0,16.8
815,Australia,Potatoes,1990,289832,534.0,17866.0,20.06
816,Australia,Potatoes,1990,289832,534.0,17866.0,
817,Australia,Potatoes,1990,289832,534.0,17866.0,14.16
818,Australia,Potatoes,1990,289832,534.0,17866.0,18.05
819,Australia,Potatoes,1990,289832,534.0,17866.0,17.47
820,Australia,"Rice, paddy",1990,88000,534.0,17866.0,16.8
821,Australia,"Rice, paddy",1990,88000,534.0,17866.0,20.06
822,Australia,"Rice, paddy",1990,88000,534.0,17866.0,
823,Australia,"Rice, paddy",1990,88000,534.0,17866.0,14.16
824,Australia,"Rice, paddy",1990,88000,534.0,17866.0,18.05
825,Australia,"Rice, paddy",1990,88000,534.0,17866.0,17.47
826,Australia,Sorghum,1990,24883,534.0,17866.0,16.8
827,Australia,Sorghum,1990,24883,534.0,17866.0,20.06
828,Australia,Sorghum,1990,24883,534.0,17866.0,
829,Australia,Sorghum,1990,24883,534.0,17866.0,14.16
830,Australia,Sorghum,1990,24883,534.0,17866.0,18.05
831,Australia,Sorghum,1990,24883,534.0,17866.0,17.47
832,Australia,Soybeans,1990,15718,534.0,17866.0,16.8
833,Australia,Soybeans,1990,15718,534.0,17866.0,20.06
834,Australia,Soybeans,1990,15718,534.0,17866.0,
835,Australia,Soybeans,1990,15718,534.0,17866.0,14.16
836,Australia,Soybeans,1990,15718,534.0,17866.0,18.05
837,Australia,Soybeans,1990,15718,534.0,17866.0,17.47
838,Australia,Sweet potatoes,1990,137140,534.0,17866.0,16.8
839,Australia,Sweet potatoes,1990,137140,534.0,17866.0,20.06
840,Australia,Sweet potatoes,1990,137140,534.0,17866.0,
841,Australia,Sweet potatoes,1990,137140,534.0,17866.0,14.16
842,Australia,Sweet potatoes,1990,137140,534.0,17866.0,18.05
843,Australia,Sweet potatoes,1990,137140,534.0,17866.0,17.47
844,Australia,Wheat,1990,16344,534.0,17866.0,16.8
845,Australia,Wheat,1990,16344,534.0,17866.0,20.06
846,Australia,Wheat,1990,16344,534.0,17866.0,
847,Australia,Wheat,1990,16344,534.0,17866.0,14.16
848,Australia,Wheat,1990,16344,534.0,17866.0,18.05
849,Australia,Wheat,1990,16344,534.0,17866.0,17.47
850,Australia,Maize,1991,39938,534.0,17866.0,16.78
851,Australia,Maize,1991,39938,534.0,17866.0,20.29
852,Australia,Maize,1991,39938,534.0,17866.0,12.22
853,Australia,Maize,1991,39938,534.0,17866.0,13.77
854,Australia,Maize,1991,39938,534.0,17866.0,18.73
855,Australia,Maize,1991,39938,534.0,17866.0,17.85
856,Australia,Potatoes,1991,285359,534.0,17866.0,16.78
857,Australia,Potatoes,1991,285359,534.0,17866.0,20.29
858,Australia,Potatoes,1991,285359,534.0,17866.0,12.22
859,Australia,Potatoes,1991,285359,534.0,17866.0,13.77
860,Australia,Potatoes,1991,285359,534.0,17866.0,18.73
861,Australia,Potatoes,1991,285359,534.0,17866.0,17.85
862,Australia,"Rice, paddy",1991,88427,534.0,17866.0,16.78
863,Australia,"Rice, paddy",1991,88427,534.0,17866.0,20.29
864,Australia,"Rice, paddy",1991,88427,534.0,17866.0,12.22
865,Australia,"Rice, paddy",1991,88427,534.0,17866.0,13.77
866,Australia,"Rice, paddy",1991,88427,534.0,17866.0,18.73
867,Australia,"Rice, paddy",1991,88427,534.0,17866.0,17.85
868,Australia,Sorghum,1991,19865,534.0,17866.0,16.78
869,Australia,Sorghum,1991,19865,534.0,17866.0,20.29
870,Australia,Sorghum,1991,19865,534.0,17866.0,12.22
871,Australia,Sorghum,1991,19865,534.0,17866.0,13.77
872,Australia,Sorghum,1991,19865,534.0,17866.0,18.73
873,Australia,Sorghum,1991,19865,534.0,17866.0,17.85
874,Australia,Soybeans,1991,15551,534.0,17866.0,16.78
875,Australia,Soybeans,1991,15551,534.0,17866.0,20.29
876,Australia,Soybeans,1991,15551,534.0,17866.0,12.22
877,Australia,Soybeans,1991,15551,534.0,17866.0,13.77
878,Australia,Soybeans,1991,15551,534.0,17866.0,18.73
879,Australia,Soybeans,1991,15551,534.0,17866.0,17.85
880,Australia,Sweet potatoes,1991,151142,534.0,17866.0,16.78
881,Australia,Sweet potatoes,1991,151142,534.0,17866.0,20.29
882,Australia,Sweet potatoes,1991,151142,534.0,17866.0,12.22
883,Australia,Sweet potatoes,1991,151142,534.0,17866.0,13.77
884,Australia,Sweet potatoes,1991,151142,534.0,17866.0,18.73
885,Australia,Sweet potatoes,1991,151142,534.0,17866.0,17.85
886,Australia,Wheat,1991,14698,534.0,17866.0,16.78
887,Australia,Wheat,1991,14698,534.0,17866.0,20.29
888,Australia,Wheat,1991,14698,534.0,17866.0,12.22
889,Australia,Wheat,1991,14698,534.0,17866.0,13.77
890,Australia,Wheat,1991,14698,534.0,17866.0,18.73
891,Australia,Wheat,1991,14698,534.0,17866.0,17.85
892,Australia,Maize,1992,51721,534.0,22234.0,15.78
893,Australia,Maize,1992,51721,534.0,22234.0,
894,Australia,Maize,1992,51721,534.0,22234.0,11.21
895,Australia,Maize,1992,51721,534.0,22234.0,13.31
896,Australia,Maize,1992,51721,534.0,22234.0,18.45
897,Australia,Maize,1992,51721,534.0,22234.0,16.89
898,Australia,Potatoes,1992,289220,534.0,22234.0,15.78
899,Australia,Potatoes,1992,289220,534.0,22234.0,
900,Australia,Potatoes,1992,289220,534.0,22234.0,11.21
901,Australia,Potatoes,1992,289220,534.0,22234.0,13.31
902,Australia,Potatoes,1992,289220,534.0,22234.0,18.45
903,Australia,Potatoes,1992,289220,534.0,22234.0,16.89
904,Australia,"Rice, paddy",1992,88346,534.0,22234.0,15.78
905,Australia,"Rice, paddy",1992,88346,534.0,22234.0,
906,Australia,"Rice, paddy",1992,88346,534.0,22234.0,11.21
907,Australia,"Rice, paddy",1992,88346,534.0,22234.0,13.31
908,Australia,"Rice, paddy",1992,88346,534.0,22234.0,18.45
909,Australia,"Rice, paddy",1992,88346,534.0,22234.0,16.89
910,Australia,Sorghum,1992,25431,534.0,22234.0,15.78
911,Australia,Sorghum,1992,25431,534.0,22234.0,
912,Australia,Sorghum,1992,25431,534.0,22234.0,11.21
913,Australia,Sorghum,1992,25431,534.0,22234.0,13.31
914,Australia,Sorghum,1992,25431,534.0,22234.0,18.45
915,Australia,Sorghum,1992,25431,534.0,22234.0,16.89
916,Australia,Soybeans,1992,21141,534.0,22234.0,15.78
917,Australia,Soybeans,1992,21141,534.0,22234.0,
918,Australia,Soybeans,1992,21141,534.0,22234.0,11.21
919,Australia,Soybeans,1992,21141,534.0,22234.0,13.31
920,Australia,Soybeans,1992,21141,534.0,22234.0,18.45
921,Australia,Soybeans,1992,21141,534.0,22234.0,16.89
922,Australia,Sweet potatoes,1992,127548,534.0,22234.0,15.78
923,Australia,Sweet potatoes,1992,127548,534.0,22234.0,
924,Australia,Sweet potatoes,1992,127548,534.0,22234.0,11.21
925,Australia,Sweet potatoes,1992,127548,534.0,22234.0,13.31
926,Australia,Sweet potatoes,1992,127548,534.0,22234.0,18.45
927,Australia,Sweet potatoes,1992,127548,534.0,22234.0,16.89
928,Australia,Wheat,1992,17812,534.0,22234.0,15.78
929,Australia,Wheat,1992,17812,534.0,22234.0,
930,Australia,Wheat,1992,17812,534.0,22234.0,11.21
931,Australia,Wheat,1992,17812,534.0,22234.0,13.31
932,Australia,Wheat,1992,17812,534.0,22234.0,18.45
933,Australia,Wheat,1992,17812,534.0,22234.0,16.89
934,Australia,Maize,1993,44261,534.0,23899.0,16.71
935,Australia,Maize,1993,44261,534.0,23899.0,20.19
936,Australia,Maize,1993,44261,534.0,23899.0,11.84
937,Australia,Maize,1993,44261,534.0,23899.0,13.81
938,Australia,Maize,1993,44261,534.0,23899.0,18.03
939,Australia,Maize,1993,44261,534.0,23899.0,17.42
940,Australia,Potatoes,1993,290981,534.0,23899.0,16.71
941,Australia,Potatoes,1993,290981,534.0,23899.0,20.19
942,Australia,Potatoes,1993,290981,534.0,23899.0,11.84
943,Australia,Potatoes,1993,290981,534.0,23899.0,13.81
944,Australia,Potatoes,1993,290981,534.0,23899.0,18.03
945,Australia,Potatoes,1993,290981,534.0,23899.0,17.42
946,Australia,"Rice, paddy",1993,76400,534.0,23899.0,16.71
947,Australia,"Rice, paddy",1993,76400,534.0,23899.0,20.19
948,Australia,"Rice, paddy",1993,76400,534.0,23899.0,11.84
949,Australia,"Rice, paddy",1993,76400,534.0,23899.0,13.81
950,Australia,"Rice, paddy",1993,76400,534.0,23899.0,18.03
951,Australia,"Rice, paddy",1993,76400,534.0,23899.0,17.42
952,Australia,Sorghum,1993,12834,534.0,23899.0,16.71
953,Australia,Sorghum,1993,12834,534.0,23899.0,20.19
954,Australia,Sorghum,1993,12834,534.0,23899.0,11.84
955,Australia,Sorghum,1993,12834,534.0,23899.0,13.81
956,Australia,Sorghum,1993,12834,534.0,23899.0,18.03
957,Australia,Sorghum,1993,12834,534.0,23899.0,17.42
958,Australia,Soybeans,1993,16168,534.0,23899.0,16.71
959,Australia,Soybeans,1993,16168,534.0,23899.0,20.19
960,Australia,Soybeans,1993,16168,534.0,23899.0,11.84
961,Australia,Soybeans,1993,16168,534.0,23899.0,13.81
962,Australia,Soybeans,1993,16168,534.0,23899.0,18.03
963,Australia,Soybeans,1993,16168,534.0,23899.0,17.42
964,Australia,Sweet potatoes,1993,132702,534.0,23899.0,16.71
965,Australia,Sweet potatoes,1993,132702,534.0,23899.0,20.19
966,Australia,Sweet potatoes,1993,132702,534.0,23899.0,11.84
967,Australia,Sweet potatoes,1993,132702,534.0,23899.0,13.81
968,Australia,Sweet potatoes,1993,132702,534.0,23899.0,18.03
969,Australia,Sweet potatoes,1993,132702,534.0,23899.0,17.42
970,Australia,Wheat,1993,19658,534.0,23899.0,16.71
971,Australia,Wheat,1993,19658,534.0,23899.0,20.19
972,Australia,Wheat,1993,19658,534.0,23899.0,11.84
973,Australia,Wheat,1993,19658,534.0,23899.0,13.81
974,Australia,Wheat,1993,19658,534.0,23899.0,18.03
975,Australia,Wheat,1993,19658,534.0,23899.0,17.42
976,Australia,Maize,1994,46620,534.0,,16.43
977,Australia,Maize,1994,46620,534.0,,19.59
978,Australia,Maize,1994,46620,534.0,,11.6
979,Australia,Maize,1994,46620,534.0,,13.52
980,Australia,Maize,1994,46620,534.0,,19.17
981,Australia,Maize,1994,46620,534.0,,17.36
982,Australia,Potatoes,1994,294270,534.0,,16.43
983,Australia,Potatoes,1994,294270,534.0,,19.59
984,Australia,Potatoes,1994,294270,534.0,,11.6
985,Australia,Potatoes,1994,294270,534.0,,13.52
986,Australia,Potatoes,1994,294270,534.0,,19.17
987,Australia,Potatoes,1994,294270,534.0,,17.36
988,Australia,"Rice, paddy",1994,81537,534.0,,16.43
989,Australia,"Rice, paddy",1994,81537,534.0,,19.59
990,Australia,"Rice, paddy",1994,81537,534.0,,11.6
991,Australia,"Rice, paddy",1994,81537,534.0,,13.52
992,Australia,"Rice, paddy",1994,81537,534.0,,19.17
993,Australia,"Rice, paddy",1994,81537,534.0,,17.36
994,Australia,Sorghum,1994,21697,534.0,,16.43
995,Australia,Sorghum,1994,21697,534.0,,19.59
996,Australia,Sorghum,1994,21697,534.0,,11.6
997,Australia,Sorghum,1994,21697,534.0,,13.52
998,Australia,Sorghum,1994,21697,534.0,,19.17
999,Australia,Sorghum,1994,21697,534.0,,17.36
1000,Australia,Soybeans,1994,19999,534.0,,16.43
1001,Australia,Soybeans,1994,19999,534.0,,19.59
1002,Australia,Soybeans,1994,19999,534.0,,11.6
1003,Australia,Soybeans,1994,19999,534.0,,13.52
1004,Australia,Soybeans,1994,19999,534.0,,19.17
1005,Australia,Soybeans,1994,19999,534.0,,17.36
1006,Australia,Sweet potatoes,1994,140961,534.0,,16.43
1007,Australia,Sweet potatoes,1994,140961,534.0,,19.59
1008,Australia,Sweet potatoes,1994,140961,534.0,,11.6
1009,Australia,Sweet potatoes,1994,140961,534.0,,13.52
1010,Australia,Sweet potatoes,1994,140961,534.0,,19.17
1011,Australia,Sweet potatoes,1994,140961,534.0,,17.36
1012,Australia,Wheat,1994,11356,534.0,,16.43
1013,Australia,Wheat,1994,11356,534.0,,19.59
1014,Australia,Wheat,1994,11356,534.0,,11.6
1015,Australia,Wheat,1994,11356,534.0,,13.52
1016,Australia,Wheat,1994,11356,534.0,,19.17
1017,Australia,Wheat,1994,11356,534.0,,17.36
1018,Australia,Maize,1995,48263,534.0,25598.0,16.14
1019,Australia,Maize,1995,48263,534.0,25598.0,20.12
1020,Australia,Maize,1995,48263,534.0,25598.0,11.39
1021,Australia,Maize,1995,48263,534.0,25598.0,13.14
1022,Australia,Maize,1995,48263,534.0,25598.0,18.88
1023,Australia,Maize,1995,48263,534.0,25598.0,16.95
1024,Australia,Potatoes,1995,298183,534.0,25598.0,16.14
1025,Australia,Potatoes,1995,298183,534.0,25598.0,20.12
1026,Australia,Potatoes,1995,298183,534.0,25598.0,11.39
1027,Australia,Potatoes,1995,298183,534.0,25598.0,13.14
1028,Australia,Potatoes,1995,298183,534.0,25598.0,18.88
1029,Australia,Potatoes,1995,298183,534.0,25598.0,16.95
1030,Australia,"Rice, paddy",1995,88003,534.0,25598.0,16.14
1031,Australia,"Rice, paddy",1995,88003,534.0,25598.0,20.12
1032,Australia,"Rice, paddy",1995,88003,534.0,25598.0,11.39
1033,Australia,"Rice, paddy",1995,88003,534.0,25598.0,13.14
1034,Australia,"Rice, paddy",1995,88003,534.0,25598.0,18.88
1035,Australia,"Rice, paddy",1995,88003,534.0,25598.0,16.95
1036,Australia,Sorghum,1995,18555,534.0,25598.0,16.14
1037,Australia,Sorghum,1995,18555,534.0,25598.0,20.12
1038,Australia,Sorghum,1995,18555,534.0,25598.0,11.39
1039,Australia,Sorghum,1995,18555,534.0,25598.0,13.14
1040,Australia,Sorghum,1995,18555,534.0,25598.0,18.88
1041,Australia,Sorghum,1995,18555,534.0,25598.0,16.95
1042,Australia,Soybeans,1995,15318,534.0,25598.0,16.14
1043,Australia,Soybeans,1995,15318,534.0,25598.0,20.12
1044,Australia,Soybeans,1995,15318,534.0,25598.0,11.39
1045,Australia,Soybeans,1995,15318,534.0,25598.0,13.14
1046,Australia,Soybeans,1995,15318,534.0,25598.0,18.88
1047,Australia,Soybeans,1995,15318,534.0,25598.0,16.95
1048,Australia,Sweet potatoes,1995,155252,534.0,25598.0,16.14
1049,Australia,Sweet potatoes,1995,155252,534.0,25598.0,20.12
1050,Australia,Sweet potatoes,1995,155252,534.0,25598.0,11.39
1051,Australia,Sweet potatoes,1995,155252,534.0,25598.0,13.14
1052,Australia,Sweet potatoes,1995,155252,534.0,25598.0,18.88
1053,Australia,Sweet potatoes,1995,155252,534.0,25598.0,16.95
1054,Australia,Wheat,1995,17899,534.0,25598.0,16.14
1055,Australia,Wheat,1995,17899,534.0,25598.0,20.12
1056,Australia,Wheat,1995,17899,534.0,25598.0,11.39
1057,Australia,Wheat,1995,17899,534.0,25598.0,13.14
1058,Australia,Wheat,1995,17899,534.0,25598.0,18.88
1059,Australia,Wheat,1995,17899,534.0,25598.0,16.95
1060,Australia,Maize,1996,57689,534.0,31185.0,16.12
1061,Australia,Maize,1996,57689,534.0,31185.0,20.06
1062,Australia,Maize,1996,57689,534.0,31185.0,11.29
1063,Australia,Maize,1996,57689,534.0,31185.0,13.05
1064,Australia,Maize,1996,57689,534.0,31185.0,19.13
1065,Australia,Maize,1996,57689,534.0,31185.0,17.05
1066,Australia,Potatoes,1996,312853,534.0,31185.0,16.12
1067,Australia,Potatoes,1996,312853,534.0,31185.0,20.06
1068,Australia,Potatoes,1996,312853,534.0,31185.0,11.29
1069,Australia,Potatoes,1996,312853,534.0,31185.0,13.05
1070,Australia,Potatoes,1996,312853,534.0,31185.0,19.13
1071,Australia,Potatoes,1996,312853,534.0,31185.0,17.05
1072,Australia,"Rice, paddy",1996,63540,534.0,31185.0,16.12
1073,Australia,"Rice, paddy",1996,63540,534.0,31185.0,20.06
1074,Australia,"Rice, paddy",1996,63540,534.0,31185.0,11.29
1075,Australia,"Rice, paddy",1996,63540,534.0,31185.0,13.05
1076,Australia,"Rice, paddy",1996,63540,534.0,31185.0,19.13
1077,Australia,"Rice, paddy",1996,63540,534.0,31185.0,17.05
1078,Australia,Sorghum,1996,20677,534.0,31185.0,16.12
1079,Australia,Sorghum,1996,20677,534.0,31185.0,20.06
1080,Australia,Sorghum,1996,20677,534.0,31185.0,11.29
1081,Australia,Sorghum,1996,20677,534.0,31185.0,13.05
1082,Australia,Sorghum,1996,20677,534.0,31185.0,19.13
1083,Australia,Sorghum,1996,20677,534.0,31185.0,17.05
1084,Australia,Soybeans,1996,18740,534.0,31185.0,16.12
1085,Australia,Soybeans,1996,18740,534.0,31185.0,20.06
1086,Australia,Soybeans,1996,18740,534.0,31185.0,11.29
1087,Australia,Soybeans,1996,18740,534.0,31185.0,13.05
1088,Australia,Soybeans,1996,18740,534.0,31185.0,19.13
1089,Australia,Soybeans,1996,18740,534.0,31185.0,17.05
1090,Australia,Sweet potatoes,1996,172474,534.0,31185.0,16.12
1091,Australia,Sweet potatoes,1996,172474,534.0,31185.0,20.06
1092,Australia,Sweet potatoes,1996,172474,534.0,31185.0,11.29
1093,Australia,Sweet potatoes,1996,172474,534.0,31185.0,13.05
1094,Australia,Sweet potatoes,1996,172474,534.0,31185.0,19.13
1095,Australia,Sweet potatoes,1996,172474,534.0,31185.0,17.05
1096,Australia,Wheat,1996,21673,534.0,31185.0,16.12
1097,Australia,Wheat,1996,21673,534.0,31185.0,20.06
1098,Australia,Wheat,1996,21673,534.0,31185.0,11.29
1099,Australia,Wheat,1996,21673,534.0,31185.0,13.05
1100,Australia,Wheat,1996,21673,534.0,31185.0,19.13
1101,Australia,Wheat,1996,21673,534.0,31185.0,17.05
1102,Australia,Maize,1997,59403,534.0,34091.0,16.48
1103,Australia,Maize,1997,59403,534.0,34091.0,20.16
